id, name, firstname, lastname, age, birth, place, country, nationality, height, weight, injured, photo, team_id, team, team_logo, league_id, league, league_nationality, league_logo, league_nationality_flag, season, apps, lineups, minutes, number, position, rating, captain, subbed_in, subbed_out, bench, shots_total, shots_on, goals_total, goals_conceded, assists, saves, passes_total, passes_key, passes_accuracy, tackles_total, tackles_blocks, tackles_int, duels_total, duels_won, dribbles_att, dribbles_success, dribles_past, fouls_drawn, fouls_commited, cards_y, cards_yr, cards_r, pen_won, pen_commited, pen_scored, pen_missed, pen_saved 
 195972,Guthierres, Guthierres, Sales de Oliveira,22, 2001-05-25, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/195972.png,129,Ceara, https://media.api-sports.io/football/teams/129.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Defender, None, False, 0, 0, 2, None, None, 0, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, 0, 0, None
 197474,Claudio Vitor, Cláudio Vitor, Morais de Lima Cruz,22, 2000-07-13, Porto Velho, Brazil, Brazil, 188 cm, 84 kg, False, https://media.api-sports.io/football/players/197474.png,145,Avai, https://media.api-sports.io/football/teams/145.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Goalkeeper, None, False, 0, 0, 1, None, None, 0, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, 0, 0, 0
 277200,Derick, Derick Fernando, da Silva,21, 2002-05-16, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/277200.png,128,Santos, https://media.api-sports.io/football/teams/128.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 1, 0, 19, None, Defender, 6.200000, False, 1, 0, 5, None, None, 0, 0, None, None, 9, None, 8, None, 1, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, 0, 0, None
 279012,Gabriel Tota, Gabriel, Ferreira Neris,22, 2001-10-29, Santa Fé do Sul, Brazil, Brazil, 186 cm, 83 kg, False, https://media.api-sports.io/football/players/279012.png,152,Juventude, https://media.api-sports.io/football/teams/152.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 7, 2, 211, None, Midfielder, 6.400000, False, 5, 2, 19, 3, 2, 0, 0, None, None, 66, 1, 7, 4, 3, 4, 38, 17, 8, 3, None, 6, committed: 7, 2, 0, 0, None, None, 0, 0, None
 287801,Pop, Whevertton, Pereira de Oliveira,20, 2002-03-30, None, Brazil, Brazil, 171 cm, 73 kg, False, https://media.api-sports.io/football/players/287801.png,1193,Cuiaba, https://media.api-sports.io/football/teams/1193.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Attacker, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
 310419,Vitor Hugo, Vitor Hugo, de Andrade Oliveira,21, 2001-10-02, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/310419.png,125,America Mineiro, https://media.api-sports.io/football/teams/125.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Defender, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
 313223,Rubens, Rubens, Abreu Ferreira,20, 2002-02-02, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/313223.png,129,Ceara, https://media.api-sports.io/football/teams/129.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Midfielder, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
 342119,Marcos Rondon, Marcos Felipe, Rondon Rodrigues,18, 2005-04-07, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/342119.png,1193,Cuiaba, https://media.api-sports.io/football/teams/1193.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Attacker, None, False, 0, 0, 0, None, None, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, None, None, None
 353841,Adson Samuel, Adson Samuel, Nunes dos Chaves,19, 2004-02-27, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/353841.png,144,Atletico Goianiense, https://media.api-sports.io/football/teams/144.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Midfielder, None, False, 0, 0, 2, None, None, 0, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, 0, 0, None
 356836,Reginaldo, Reginaldo, dos Santos Moreira,19, 2003-03-03, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/356836.png,151,Goias, https://media.api-sports.io/football/teams/151.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Attacker, None, False, 0, 0, 1, None, None, 0, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, 0, 0, None
 362717,Leonardo, Leonardo, Estigarribia Ferreira,19, 2004-05-17, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/362717.png,134,Atletico Paranaense, https://media.api-sports.io/football/teams/134.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Defender, None, False, 0, 0, 1, None, None, 0, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, 0, 0, None
 363318,Kauan, Kauan, Conceição Ferreira da Silva,20, 2003-07-25, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/363318.png,794,RB Bragantino, https://media.api-sports.io/football/teams/794.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 1, 0, 24, None, Defender, 6.300000, False, 1, 0, 1, 2, 1, 0, 0, None, None, 2, None, 2, None, None, None, 6, 1, None, None, None, None, committed: 4, 1, 0, 0, None, None, 0, 0, None
 195,Miranda, João, Miranda de Souza Filho,38, 1984-09-07, Paranavaí, Brazil, Brazil, 186 cm, 78 kg, False, https://media.api-sports.io/football/players/195.png,126,Sao Paulo, https://media.api-sports.io/football/teams/126.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 15, 14, 1155, None, Defender, 6.900000, False, 1, 4, 10, 6, 2, 0, 0, None, None, 620, 1, 36, 18, 9, 13, 97, 51, 4, 3, None, 9, committed: 14, 4, 0, 0, None, None, 0, 0, None
